song_name,class,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,rmse_mean,rmse_std,rmse_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var
'Till I Collapse - Eminem.mp3,angry,151.9990808824,204369,1310.0576923077,0.4378683896,0.2868617803,0.082289681,0.3717223122,0.2873480654,0.0825689107,0.2078151606,0.2003651475,0.0401461923,6.4198556056,70.7241311407,5001.9027256002,3.1087827082,52.3114504599,2736.4878492147,0.0142533491,2.23097061,4.9772298627,0.1392444223,0.1051760539,0.0110620018,1623.5678054472,889.4855127191,791184.477337152,1745.126199678,539.2129600583,290750.6162948,23.1882784146,9.2738532855,86.0043547605,3211.7972453681,1754.6460578,3078782.78815303,1.6831780708,2.6594064576,7.0724427065,-0.0364983197,0.0972968904,0.0094666849,0.0833209247,0.0611566811,0.0037401396,-1.8927406927105E-05,0.1248869449,0.0155967483,-7.42396005080081E-05,0.0815188214,0.0066453181,5.3417505669,3.6207383519,13.1097462128
(Rock) Superstar - Cypress Hill.mp3,angry,95.703125,119307,1311.0659340659,0.4092535401,0.3018627752,0.0911211351,0.5361516426,0.264100783,0.0697492236,0.2656720678,0.1129233621,0.0127516857,2.8537598539,29.14154468,849.2296263364,-4.8115018516,55.912171668,3126.1709406306,0.0038912714,4.6046912719,21.2031817095,0.0943472162,0.0675763711,0.0045665661,2646.977618654,1108.4920235493,1228754.56627246,2359.8627697382,590.9404544519,349210.620707837,20.8333782679,8.4285097014,71.039775787,5241.9641358934,1911.0131748168,3651971.35432347,1.1751137754,1.8432342094,3.3975123506,-0.0158341098,0.0632546064,0.0040011452,0.142129904,0.0880783719,0.0077577996,-2.39633282035356E-05,0.0634332597,0.0040237783,-4.19142852479126E-05,0.0725590065,0.0052648094,3.848707483,2.2039012347,4.8571806521
7th Ghost (feat Reef the Lost Cauze Doap Nixon Blacastan Demoz & Vinnie Paz) - Army Of The Pharaohs.mp3,angry,92.28515625,111748,1255.595505618,0.4237588683,0.2992709899,0.0895631254,0.3966599935,0.2957956249,0.0874950517,0.2299915229,0.1744626972,0.0304372327,32.2990055546,224.4484805384,50377.1204159994,7.1409501277,29.8241386183,889.4792443235,0.0140221504,3.4537775923,11.9285796568,0.3524282873,0.1369658709,0.0187596511,2368.7125045948,997.8786340455,995761.768284538,2610.7430285991,542.1572149781,293934.445752799,20.808095564,6.5652686987,43.1027530862,5130.2898111727,2078.3173016447,4319402.80631571,3.775376495,4.3424907532,18.8572259416,0.0419559054,0.1058772545,0.011209993,0.0780494147,0.0574331283,0.0032985642,-3.02526837003825E-06,0.2685631514,0.0721261725,-0.0001369185,0.1760569066,0.0309960339,3.683845805,2.3372620307,5.4627938
99 Problems - JAY Z.mp3,angry,92.28515625,109974,1571.0571428572,0.4615998945,0.332274396,0.1104062743,0.4236355745,0.3175330207,0.1008272192,0.2153727243,0.1562138704,0.0244027733,11.3203213817,98.7032173046,9742.3251062779,-1.9407731398,64.5325091121,4164.4447323015,0.0104018245,3.0890377196,9.5421540334,0.1765139997,0.1315769851,0.0173125044,1778.2245367605,1291.4119366308,1667744.79007243,2061.4442337431,1059.9885934202,1123575.81818102,17.1995002841,7.0224574104,49.3149080802,4025.5464914044,2603.4381699827,6777890.30492292,1.6496937904,2.4709889099,6.1057861931,0.0064089967,0.0603466033,0.0036417125,0.0653493781,0.092777257,0.0086076194,4.80512017020374E-06,0.1797597855,0.0323135816,4.64613412987092E-06,0.0805618465,0.0064902105,16.2226213152,1.5102840241,2.2809578333
A Christmas Fucking Miracle - Run The Jewels.mp3,angry,107.666015625,136562,1288.320754717,0.4218552364,0.3223983463,0.1039406937,0.4400273975,0.29429242,0.0866080285,0.2347513894,0.1680033288,0.0282251185,15.8996399302,196.9409243976,38785.7277025622,1.5967692469,49.2204203204,2422.6497765145,0.0135788971,3.0431204306,9.2605819551,0.2084072828,0.157859832,0.0249197278,1933.453427592,1092.3487029981,1193225.68894164,2151.4527297575,668.9989575583,447559.605214043,21.0542509634,8.158779549,66.5656837299,3908.2055342825,2312.7791748833,5348947.51177388,1.8500010654,2.6378547246,6.9582775483,-0.0066442715,0.0878883646,0.0077243646,0.0809059734,0.0784984657,0.0061620091,0.000016969,0.2163578123,0.0468107052,-5.18981287314091E-05,0.1052225232,0.0110717798,2.87230839,1.4506823463,2.1044792699
Agony Fires (feat Vinnie Paz Planetary Celph Titled & Apathy) - Jedi Mind Tricks.mp3,angry,89.1029094828,114465,1286.1235955056,0.454818469,0.2941440298,0.0865207103,0.5549367872,0.2598361337,0.0675148164,0.2701574502,0.1017265228,0.0103482854,11.8016064835,128.3162523931,16465.0606282219,1.2860024307,42.2827712445,1787.8327441172,0.0112708256,2.8392223865,8.0611837603,0.1838295907,0.1472217143,0.0216742326,2394.4163303509,969.5117227287,939952.980508292,2213.2156721819,689.9471835506,476027.116089446,20.0774282844,8.2977319747,68.8523559247,4761.5170410912,1969.4971646278,3878919.08147701,2.2842296365,3.3461363295,11.1966283355,-0.0040834231,0.0549864548,0.0030235102,0.1216050848,0.0683844932,0.0046764389,0.0023621018,0.1643300056,0.02700435,-0.000008677,0.1207762659,0.0145869059,4.5580770975,3.6700319134,13.4691342456
Airplanes Part II [feat Eminem & Hayley Williams of Paramore] - BoB.mp3,angry,92.28515625,116803,1269.597826087,0.4055235406,0.2975908528,0.0885603157,0.4393390107,0.2842683179,0.0808084765,0.2403288758,0.1599229965,0.0255753648,9.744125126,71.3101492398,5085.1373846016,1.7306189511,41.3417001873,1709.1361743794,0.0113610053,2.5985731113,6.7525822147,0.1877863854,0.0979312658,0.0095905326,2150.1177710984,981.4622689216,963268.185316642,2141.7793420985,621.1025592604,385768.389119781,21.2868301092,6.6784889663,44.6022148727,4305.1698005606,1806.6048796838,3263821.1912973,2.2275257363,2.8768102755,8.2760373612,-0.0152013672,0.0784862165,0.0061600862,0.0921179237,0.0612471601,0.0037512146,0.000002684,0.1562635899,0.0244183075,0.0002242802,0.0962201953,0.0092583261,3.0673560091,1.7199843448,2.9583461462
Am I A Psycho - Tech N9ne.mp3,angry,83.3543346774,104250,1271.3414634146,0.525025917,0.2769877172,0.0767221955,0.4590672746,0.3059294993,0.0935928586,0.2409392901,0.1590018611,0.0252815918,15.6290154979,164.6590531807,27112.6037943718,3.6847112405,33.1959976547,1101.9742602887,0.0085330495,3.3949384793,11.5256072783,0.2235041261,0.142162174,0.0202100836,2997.0578956747,1271.9130900427,1617762.90862203,2815.7896222723,519.2734087959,269644.873082553,19.2765765784,7.1020972545,50.4397854124,6396.0363240434,2129.5678051613,4535059.03677941,2.3753256804,3.3485430058,11.2127402618,0.0245599819,0.0856100999,0.0073290892,0.136548494,0.1228054989,0.0150811905,-2.1136418581591E-05,0.1860326976,0.0346081667,0.0002911441,0.1442619413,0.0208115056,4.4965442177,2.075937643,4.3095170974
And Your Blood Will Blot Out the Sun (feat Immortal Technique & Poison Pen) - Vinnie Paz.mp3,angry,117.4538352273,148584,1415.0857142857,0.4580565397,0.2905151522,0.0843990537,0.5810500377,0.2650118583,0.070231285,0.268718029,0.1054701579,0.0111239542,20.9028925184,141.8853788244,20131.460724153,4.1112810241,35.0553301884,1228.8761746171,0.0139700658,2.7504086737,7.5647478723,0.2831745744,0.1274041086,0.0162318051,2403.0773619647,838.727236153,703463.376664902,2360.6315960626,487.1766323852,237341.07114219,19.7991250982,6.8655461454,47.1357238748,4893.8037411716,1658.0606276694,2749165.04502743,3.6210915835,4.3483798373,18.9084072098,-0.0079358923,0.049430592,0.0024433834,0.1101295306,0.0633938653,0.0040187822,7.31972795620095E-06,0.202114448,0.0408502519,0.0003875769,0.164977923,0.027217716,6.5584761905,2.440421376,5.9556564926
Angels of Death - Outerspace.mp3,angry,92.28515625,113695,1263.2777777778,0.4487947138,0.2866033436,0.0821414765,0.5295933566,0.2634353156,0.0693981655,0.2637158156,0.1174193422,0.0137873019,9.4468125279,94.8514868765,8996.8045626877,-0.2007779669,42.7242973478,1825.3655838611,0.0110559802,2.3792572302,5.6608649677,0.1644495726,0.130502671,0.0170309469,2274.8609736488,691.8887201192,478710.001028244,2148.3875897929,574.6672337311,330242.42952411,20.2209393444,7.674495447,58.8978803664,4469.3563077472,1572.6552317837,2473244.47805647,2.2793946373,3.29453016,10.853928975,0.0001404806,0.059084919,0.0034910277,0.1223598043,0.0538597253,0.00290087,0.0023678234,0.1291767508,0.0166866314,-8.96979963727063E-06,0.1231559515,0.0151673881,4.755446712,4.343581593,18.8667010553
Ante Up (Robbin Hoodz Theory) - MOP.mp3,angry,95.703125,119659,1286.6559139785,0.4431556163,0.2955592445,0.087355267,0.5512273859,0.2596771244,0.0674322089,0.2709449822,0.0996099891,0.0099221499,10.3106103652,99.4555272486,9891.4019002885,1.256500171,26.2664642221,689.927142733,0.0047579771,3.0447040647,9.2702228413,0.204763338,0.0976691395,0.0095392605,3027.0543674151,776.0559943334,602262.906340821,2495.6549361247,316.6417272327,100261.983424902,19.3859871652,6.8056192594,46.3164535045,5794.5649610584,1173.9306972883,1378113.28203577,2.9449921352,3.4727226257,12.059802435,-0.0018712507,0.0542897481,0.0029473767,0.1734280896,0.0803850026,0.0064617486,-5.60770895390306E-05,0.113408573,0.0128615042,-8.71217634994537E-05,0.1469236463,0.021586556,3.3819863946,2.2526740003,5.0745401518
Anthem of the Lost - Live Version - INFIDELIX.mp3,angry,184.5703125,234482,1281.3224043716,0.4136118083,0.3092009345,0.0956052179,0.4960607803,0.277660207,0.0770951905,0.2528244001,0.1393311022,0.0194131561,2.9783246713,17.7994619482,316.8208456463,-0.6042577711,48.0059189619,2304.5682553809,0.0065831987,3.0667278517,9.4048197166,0.105140768,0.0514347963,0.0026455384,2530.781847516,943.6853280088,890541.998299135,2395.5064250016,409.5769193018,167753.252824758,20.8632223319,8.1070903655,65.7249141942,5218.3101122593,1470.0474074364,2161039.38011036,1.3476156842,1.7501720694,3.0631022725,0.0001770906,0.0766566027,0.0058762347,0.1234019371,0.0882422765,0.0077866994,-7.46364776205155E-07,0.0807855204,0.0065263007,0.000005497,0.056014318,0.0031376039,2.5727709751,1.4314231031,2.0489721
Azrael (feat Block Mccloud Reef the Lost Cauze Vinnie Paz & Crypt the Warchild) - Army Of The Pharaohs.mp3,angry,78.3025568182,101214,1281.1898734177,0.4096039305,0.3095156686,0.0957999491,0.468708985,0.2984191155,0.0890539685,0.2435883115,0.1549130977,0.0239980678,23.7652526467,187.8302412651,35280.1995337047,5.5010368265,28.2246881048,796.6330186151,0.0146504288,2.8412259254,8.0725647591,0.2941348851,0.1374985725,0.0189058557,2709.7523534499,1018.4754099572,1037292.16068749,2787.824129078,477.3685489472,227880.731523952,20.322365155,7.3951860497,54.6887767091,6073.5924404841,1828.4778587664,3343331.27999892,3.0308915307,3.6947444648,13.6511366602,-0.008915776,0.0623112945,0.0038826974,0.106875393,0.0846424615,0.0071643463,6.06790592883044E-07,0.214135021,0.0458538048,3.91879184462596E-05,0.1853785962,0.0343652256,1.9527981859,1.0891594411,1.1862682881
